Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,51.860001,52.549999,51.82,52.490002,1234200,24.759414
2010-01-05,52.330002,52.380001,51.75,51.900002,1526800,24.481112
2010-01-06,51.919998,52.119999,51.639999,52.0,939600,24.528281
2010-01-07,51.740002,51.950001,51.490002,51.880001,1052800,24.471678
2010-01-08,51.509998,52.240002,51.330002,52.07,613800,24.5613
2010-01-11,52.139999,52.43,51.650002,51.799999,993000,24.433941
2010-01-12,51.380001,51.93,51.27,51.720001,1615600,24.396207
2010-01-13,51.790001,52.060001,51.529999,51.93,1014600,24.495263
2010-01-14,51.580002,51.880001,51.52,51.689999,952400,24.382054
2010-01-15,51.459999,51.650002,51.220001,51.41,1674600,24.24998
2010-01-19,51.27,52.080002,51.099998,51.950001,1582800,24.504697
2010-01-20,51.759998,51.880001,51.139999,51.43,2200000,24.259414
2010-01-21,51.639999,51.709999,50.919998,51.139999,2849000,24.122621
2010-01-22,51.130001,51.310001,50.700001,50.849998,2984800,23.985828
2010-01-25,51.049999,51.169998,50.759998,50.860001,1913200,23.990546
2010-01-26,50.720001,51.009998,50.389999,50.560001,2089800,23.849037
2010-01-27,50.560001,50.700001,49.490002,50.450001,3362000,23.79715
2010-01-28,52.990002,52.990002,50.450001,50.540001,3597400,23.839603
2010-01-29,50.810001,51.82,50.669998,50.790001,3604400,23.957528
2010-02-01,51.099998,51.130001,50.259998,50.91,2686200,24.014131
2010-02-02,51.080002,52.32,51.080002,52.209999,1973400,24.627337
2010-02-03,52.09,52.5,51.52,51.540001,1122200,24.311301
2010-02-04,51.189999,51.220001,49.98,49.990002,1788800,23.58017
2010-02-05,50.049999,50.619999,49.43,50.549999,1642800,23.844319
2010-02-08,50.5,50.959999,49.84,50.25,1484600,23.70281
2010-02-09,50.360001,50.990002,50.150002,50.57,1704600,23.853753
2010-02-10,50.48,50.709999,49.950001,50.09,1277600,23.627339
2010-02-11,50.189999,51.25,49.98,51.049999,1718200,24.080168
2010-02-12,50.540001,51.549999,50.360001,51.389999,1727800,24.240545
2010-02-16,51.689999,52.16,51.540001,52.040001,1805200,24.54715
2010-02-17,52.400002,52.93,51.82,52.150002,1516200,24.599037
2010-02-18,52.099998,53.130001,52.099998,52.889999,1401000,24.948092
2010-02-19,52.669998,53.119999,52.57,52.630001,1416600,24.825451
2010-02-22,52.630001,52.959999,52.07,52.68,1283600,24.849036
2010-02-23,52.529999,52.900002,52.220001,52.310001,1748200,24.674508
2010-02-24,52.48,53.27,52.459999,53.02,1162800,25.009413
2010-02-25,52.200001,53.310001,51.900002,53.130001,1725400,25.108658
2010-02-26,53.75,54.279999,53.330002,54.040001,2313600,25.538714
2010-03-01,54.310001,54.889999,53.860001,54.599998,1313200,25.803363
2010-03-02,54.650002,54.830002,54.139999,54.189999,1503000,25.609601
2010-03-03,54.299999,54.970001,54.200001,54.59,1316400,25.798638
2010-03-04,54.73,54.82,54.029999,54.450001,1447200,25.732476
2010-03-05,54.799999,54.959999,54.459999,54.900002,1056600,25.945141
2010-03-08,54.91,55.130001,54.150002,54.41,1183000,25.713572
2010-03-09,54.16,54.580002,53.720001,54.040001,1348200,25.538714
2010-03-10,53.84,54.389999,53.470001,54.130001,1152200,25.581247
2010-03-11,54.889999,54.889999,53.959999,54.470001,793200,25.741928
2010-03-12,54.490002,54.759998,54.310001,54.450001,877600,25.732476
2010-03-15,54.169998,54.369999,53.830002,54.25,717600,25.637957
2010-03-16,54.360001,54.560001,54.139999,54.48,735800,25.746653
2010-03-17,54.529999,54.990002,54.299999,54.810001,938400,25.902608
2010-03-18,53.959999,54.889999,53.959999,54.310001,1132000,25.666313
2010-03-19,54.200001,54.470001,53.84,54.200001,2107400,25.614328
2010-03-22,53.990002,54.439999,53.669998,54.150002,1166400,25.590699
2010-03-23,54.25,54.529999,53.830002,54.52,1278600,25.765557
2010-03-24,54.290001,54.290001,53.610001,54.0,1419000,25.51981
2010-03-25,54.16,54.32,53.16,53.18,1259600,25.132287
2010-03-26,53.240002,54.349998,53.169998,54.0,1591400,25.51981
2010-03-29,54.080002,54.34,53.959999,54.049999,577000,25.543439
2010-03-30,54.189999,54.189999,53.279999,53.450001,966000,25.259886
2010-03-31,53.259998,53.919998,52.900002,53.380001,929000,25.226805
2010-04-01,53.509998,54.560001,53.200001,54.259998,1160600,25.642682
2010-04-05,54.439999,54.540001,54.139999,54.419998,726400,25.718297
2010-04-06,54.16,54.529999,54.009998,54.119999,1079000,25.57652
2010-04-07,54.0,54.240002,53.630001,53.860001,540200,25.453648
2010-04-08,53.98,54.0,53.419998,53.98,599800,25.510358
2010-04-09,53.950001,54.380001,53.790001,54.369999,655800,25.694668
2010-04-12,54.360001,54.360001,53.73,53.919998,907000,25.482002
2010-04-13,53.830002,53.830002,53.400002,53.59,1051600,25.326049
2010-04-14,53.66,54.25,53.43,54.200001,947600,25.614328
2010-04-15,54.23,54.68,54.189999,54.490002,639400,25.75138
2010-04-16,54.400002,54.82,54.099998,54.32,1445000,25.671038
2010-04-19,53.990002,54.220001,53.369999,54.060001,1147200,25.548166
2010-04-20,54.349998,54.599998,54.0,54.349998,904400,25.685216
2010-04-21,54.400002,54.470001,53.860001,54.200001,617200,25.614328
2010-04-22,53.779999,54.810001,53.75,54.759998,810200,25.878977
2010-04-23,54.650002,55.43,54.470001,55.369999,1006000,26.167257
2010-04-26,55.57,55.650002,55.18,55.240002,1005600,26.105821
2010-04-27,55.200001,55.599998,54.529999,54.599998,1612800,25.803363
2010-04-28,54.799999,55.009998,54.369999,54.77,1450800,25.883704
2010-04-29,54.959999,54.959999,53.439999,53.82,2329800,25.434744
2010-04-30,53.939999,54.68,53.099998,53.209999,1998400,25.146464
2010-05-03,53.240002,53.279999,52.34,53.049999,2094600,25.07085
2010-05-04,52.470001,52.639999,51.830002,52.200001,1804400,24.66915
2010-05-05,52.060001,52.709999,51.759998,52.189999,1412000,24.664423
2010-05-06,51.950001,52.380001,48.0,50.709999,2670800,23.964992
2010-05-07,50.59,50.990002,49.119999,49.490002,2930600,23.388434
2010-05-10,51.209999,51.580002,50.669998,51.52,1740000,24.347789
2010-05-11,51.080002,51.84,51.07,51.52,1726600,24.347789
2010-05-12,51.57,52.110001,51.290001,52.110001,990400,24.626617
