Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,39.41,40.150002,39.330002,39.610001,1964100,35.635216
2010-01-05,39.759998,40.490002,39.630001,39.990002,2116000,35.977085
2010-01-06,39.529999,39.849998,39.119999,39.419998,1612100,35.46428
2010-01-07,39.450001,39.450001,38.610001,38.77,1671500,34.879509
2010-01-08,38.779999,39.139999,38.299999,38.959999,2004200,35.050441
2010-01-11,39.279999,39.5,38.93,38.970001,1658300,35.05944
2010-01-12,38.82,38.880001,38.049999,38.25,2345700,34.411689
2010-01-13,38.259998,38.799999,38.259998,38.669998,1633800,34.789541
2010-01-14,38.57,38.709999,38.400002,38.610001,1569900,34.735564
2010-01-15,39.610001,39.610001,38.580002,38.689999,1797800,34.807535
2010-01-19,38.639999,38.950001,38.610001,38.830002,1841900,34.933489
2010-01-20,38.580002,39.040001,38.43,38.959999,1796700,35.050441
2010-01-21,39.189999,39.189999,38.139999,38.43,1402400,34.573627
2010-01-22,38.41,39.369999,37.200001,37.349998,1550500,33.602001
2010-01-25,37.689999,38.549999,37.48,38.049999,1614900,34.231758
2010-01-26,37.91,37.98,37.41,37.439999,1309900,33.68297
2010-01-27,37.279999,38.259998,37.009998,38.25,1761800,34.411689
2010-01-28,37.200001,37.419998,36.009998,37.169998,5190300,33.440063
2010-01-29,37.209999,37.5,36.700001,36.939999,2703900,33.233144
2010-02-01,37.130001,37.439999,36.810001,37.27,1996300,33.530031
2010-02-02,37.529999,37.529999,36.860001,37.299999,1954700,33.557019
2010-02-03,36.959999,37.389999,36.59,36.790001,1187200,33.098198
2010-02-04,36.509998,36.509998,35.290001,35.59,2957800,32.018615
2010-02-05,35.459999,35.689999,34.119999,35.279999,3987700,31.739722
2010-02-08,35.360001,36.209999,34.98,35.66,1875600,32.08159
2010-02-09,36.130001,36.490002,35.540001,35.869999,2194800,32.270516
2010-02-10,35.849998,36.029999,35.259998,35.970001,1457900,32.360484
2010-02-11,35.790001,37.080002,35.5,36.98,1582400,33.269131
