Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,36.380001,37.110001,34.470001,34.84,2642400,25.560548
2010-01-05,34.529999,34.75,34.080002,34.43,2701000,25.259749
2010-01-06,34.509998,34.860001,33.200001,33.34,2776000,24.460065
2010-01-07,33.380001,33.689999,32.639999,33.470001,2887600,24.555441
2010-01-08,33.59,33.59,32.259998,32.84,2171300,24.093237
2010-01-11,33.330002,33.5,32.799999,32.93,1460000,24.159266
2010-01-12,32.5,32.970001,31.940001,32.23,1709900,23.645707
2010-01-13,32.259998,33.110001,31.969999,32.990002,1559000,24.203287
2010-01-14,32.830002,33.470001,32.380001,33.27,1555100,24.408709
2010-01-15,33.18,33.310001,32.66,32.779999,1367200,24.049217
2010-01-19,32.790001,34.32,32.779999,34.139999,1765100,25.046989
2010-01-20,33.669998,34.349998,33.5,33.700001,2116100,24.724181
2010-01-21,33.900002,34.0,32.27,32.380001,2137500,23.755757
2010-01-22,32.32,33.040001,31.440001,31.549999,1868900,23.146821
2010-01-25,32.169998,32.470001,31.18,32.400002,1368400,23.77043
2010-01-26,32.200001,32.57,31.32,31.370001,1480500,23.014765
2010-01-27,31.219999,32.09,30.76,31.940001,1798500,23.432948
2010-01-28,32.099998,32.130001,30.700001,31.09,1367800,22.809341
2010-01-29,31.360001,31.85,30.27,30.85,2141100,22.633264
2010-02-01,31.110001,31.709999,30.99,31.450001,1600800,23.073457
2010-02-02,31.700001,32.66,31.190001,32.0,2436900,23.476967
2010-02-03,31.75,31.92,30.780001,31.280001,1220100,22.948736
2010-02-04,30.860001,31.01,30.16,30.17,2672400,22.134378
2010-02-05,30.299999,31.370001,30.17,31.309999,2322900,22.970744
2010-02-08,31.120001,31.49,30.58,30.58,1750000,22.435176
2010-02-09,31.16,31.18,30.18,30.5,2653000,22.376484
2010-02-10,30.42,31.209999,30.030001,30.57,1745900,22.42784
2010-02-11,29.75,30.110001,29.299999,29.969999,2445200,22.030887
2010-02-12,29.73,31.02,29.42,30.85,2402100,22.677774
2010-02-16,31.25,32.07,30.950001,32.0,2111200,23.523136
2010-02-17,32.009998,33.880001,32.009998,33.68,2907500,24.758101
2010-02-18,33.41,34.310001,33.119999,34.060001,2456700,25.037439
2010-02-19,34.040001,34.290001,33.560001,33.639999,1761800,24.728696
2010-02-22,33.849998,33.900002,33.299999,33.369999,1576000,24.53022
2010-02-23,33.240002,33.98,33.139999,33.669998,2114600,24.750748
2010-02-24,33.799999,35.240002,33.5,35.099998,2642100,25.801939
2010-02-25,34.369999,35.98,34.259998,35.869999,1658000,26.367965
2010-02-26,35.82,36.060001,35.09,35.639999,1329200,26.198892
2010-03-01,35.900002,36.02,35.470001,35.93,1115200,26.412072
2010-03-02,36.119999,36.939999,36.119999,36.790001,2296400,27.044256
2010-03-03,36.919998,37.279999,36.240002,36.299999,1105100,26.684057
2010-03-04,36.349998,36.700001,36.169998,36.439999,1351700,26.78697
2010-03-05,36.66,38.849998,36.66,38.580002,2319600,28.360082
2010-03-08,38.349998,38.98,38.060001,38.810001,1118100,28.529155
2010-03-09,38.509998,39.610001,38.27,38.599998,1776000,28.374782
2010-03-10,38.669998,38.990002,38.040001,38.139999,1605800,28.036637
2010-03-11,38.279999,38.73,37.650002,38.610001,1930500,28.382134
2010-03-12,38.91,39.599998,38.400002,39.189999,1088800,28.80849
2010-03-15,39.169998,39.349998,38.259998,39.110001,1081100,28.749683
2010-03-16,39.16,41.200001,39.02,40.950001,2930300,30.102264
2010-03-17,41.18,41.34,40.639999,41.07,1470100,30.190475
2010-03-18,40.740002,41.049999,40.040001,40.080002,1472100,29.462729
2010-03-19,39.400002,40.169998,39.220001,39.400002,1511300,28.962862
2010-03-22,39.150002,40.310001,38.950001,40.02,1265500,29.418622
2010-03-23,40.09,40.09,39.009998,39.259998,1592200,28.859946
2010-03-24,39.0,39.459999,38.98,39.200001,3124400,28.815842
2010-03-25,39.689999,40.790001,39.549999,39.610001,1436600,29.117232
2010-03-26,39.900002,40.5,39.169998,39.279999,1206800,28.874649
2010-03-29,39.380001,40.080002,39.169998,39.630001,1060200,29.131935
2010-03-30,39.799999,39.799999,38.709999,38.919998,736800,28.610013
2010-03-31,38.799999,39.080002,38.080002,38.310001,1241500,28.161606
2010-04-01,38.669998,38.919998,38.169998,38.77,942400,28.49975
