Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,22.41,22.860001,22.41,22.65,2176100,18.654314
2010-01-05,22.67,22.91,22.59,22.879999,1843600,18.843739
2010-01-06,22.889999,23.15,22.83,23.0,2089400,18.942571
2010-01-07,23.120001,23.15,22.9,23.049999,1353200,18.98375
2010-01-08,23.1,23.18,22.82,23.0,1359100,18.942571
2010-01-11,23.0,23.77,22.940001,23.23,2313500,19.131996
2010-01-12,23.25,23.25,23.0,23.120001,1117500,19.041402
2010-01-13,23.08,23.32,23.0,23.219999,703600,19.12376
2010-01-14,23.120001,23.15,22.879999,22.98,1173700,18.926099
2010-01-15,23.059999,23.059999,22.43,22.6,996700,18.613135
2010-01-19,22.690001,22.809999,22.5,22.5,779500,18.530776
2010-01-20,22.59,22.6,22.209999,22.450001,1438800,18.489597
2010-01-21,22.469999,22.620001,22.09,22.110001,1280400,18.209576
2010-01-22,22.17,22.18,21.639999,22.059999,1491400,18.168396
2010-01-25,22.23,22.370001,21.959999,22.15,1004800,18.242519
2010-01-26,21.85,22.18,21.389999,22.02,660000,18.135453
2010-01-27,22.0,22.200001,21.75,22.02,1078100,18.135453
2010-01-28,22.02,22.1,21.6,21.66,1195200,17.83896
2010-01-29,21.67,22.02,21.57,21.799999,1422600,17.954262
2010-02-01,21.889999,22.18,21.83,22.139999,878200,18.234283
2010-02-02,22.219999,22.41,22.030001,22.1,816200,18.20134
2010-02-03,22.1,22.360001,21.77,22.360001,933300,18.415474
2010-02-04,22.110001,22.299999,21.75,21.75,1156400,17.913083
2010-02-05,21.84,21.92,21.34,21.68,836200,17.855432
2010-02-08,21.67,21.879999,21.530001,21.610001,669000,17.797781
2010-02-09,21.700001,21.9,21.370001,21.4,811300,17.624827
2010-02-10,21.379999,21.610001,21.200001,21.57,681900,17.764837
2010-02-11,21.6,21.93,21.4,21.82,1097000,17.970734
2010-02-12,21.74,22.16,21.549999,22.16,906600,18.250755
2010-02-16,22.190001,22.200001,21.99,22.120001,759900,18.392106
2010-02-17,22.209999,22.41,22.09,22.209999,1092700,18.466936
2010-02-18,22.26,22.530001,22.16,22.51,751800,18.716378
2010-02-19,22.549999,22.99,22.450001,22.879999,1019400,19.024021
2010-02-22,22.98,23.0,22.65,22.690001,431300,18.866043
2010-02-23,22.709999,22.77,22.32,22.450001,916100,18.66649
2010-02-24,22.48,22.559999,22.120001,22.26,639500,18.508511
2010-02-25,22.129999,22.34,21.84,22.309999,1211700,18.550084
2010-02-26,22.280001,22.360001,22.09,22.26,1076800,18.508511
2010-03-01,22.389999,22.389999,20.719999,21.08,5563500,17.527376
2010-03-02,21.08,21.08,20.389999,20.75,4386200,17.252992
2010-03-03,20.75,21.07,20.75,20.92,3049300,17.394342
2010-03-04,20.91,21.34,20.91,21.25,1550900,17.668726
2010-03-05,21.25,21.459999,21.120001,21.41,929200,17.801761
2010-03-08,21.469999,21.469999,21.17,21.35,877800,17.751874
2010-03-09,21.370001,21.370001,21.0,21.219999,936000,17.643782
2010-03-10,21.200001,21.200001,20.99,21.07,840800,17.519062
2010-03-11,20.99,21.09,20.950001,21.02,1318500,17.477489
2010-03-12,21.139999,21.139999,20.889999,20.959999,1970000,17.427599
2010-03-15,21.030001,21.309999,20.98,21.1,1568800,17.544006
2010-03-16,21.190001,21.25,20.92,21.07,1044400,17.519062
2010-03-17,21.17,21.33,20.98,21.27,905900,17.685356
2010-03-18,21.209999,21.5,21.18,21.4,732600,17.793446
2010-03-19,21.25,21.4,20.950001,21.25,1321500,17.668726
2010-03-22,21.139999,21.190001,20.889999,21.110001,841700,17.552321
2010-03-23,21.190001,21.67,20.959999,21.610001,1645700,17.968056
2010-03-24,21.59,21.780001,21.5,21.700001,1263800,18.042888
2010-03-25,21.74,21.809999,21.360001,21.51,1274300,17.884909
2010-03-26,21.6,21.610001,21.120001,21.25,1035800,17.668726
2010-03-29,21.280001,21.450001,21.139999,21.43,506400,17.818391
2010-03-30,21.49,21.57,21.08,21.370001,1025500,17.768503
2010-03-31,21.4,21.799999,21.27,21.76,964400,18.092776
2010-04-01,21.790001,22.0,21.75,21.809999,1197400,18.134349
2010-04-05,21.9,22.16,21.84,22.15,688100,18.417049
2010-04-06,22.15,22.219999,22.0,22.139999,823400,18.408734
2010-04-07,22.059999,22.059999,21.66,21.709999,954800,18.051202
2010-04-08,21.610001,21.75,20.940001,21.35,1798000,17.751874
2010-04-09,21.459999,21.66,21.25,21.620001,994600,17.976371
2010-04-12,21.6,21.68,21.370001,21.549999,566800,17.918167
2010-04-13,21.58,21.58,21.35,21.48,595100,17.859964
2010-04-14,21.59,21.620001,21.16,21.440001,1177800,17.826706
2010-04-15,21.4,21.6,21.32,21.43,744600,17.818391
2010-04-16,21.34,21.51,21.040001,21.469999,937400,17.851649
2010-04-19,21.459999,21.530001,21.07,21.219999,697000,17.643782
2010-04-20,21.129999,21.49,21.129999,21.450001,682500,17.835021
2010-04-21,21.49,21.690001,21.42,21.639999,651300,17.992999
2010-04-22,21.610001,21.610001,21.26,21.43,561200,17.818391
2010-04-23,21.610001,21.610001,21.27,21.360001,781800,17.760189
2010-04-26,21.32,21.49,21.059999,21.059999,1017600,17.510747
2010-04-27,21.030001,21.34,20.83,20.83,1633200,17.319509
2010-04-28,21.030001,21.33,20.75,21.24,1190400,17.660411
2010-04-29,21.290001,21.719999,21.209999,21.690001,839300,18.034573
2010-04-30,21.629999,21.950001,21.610001,21.780001,843600,18.109406
2010-05-03,21.82,22.0,21.66,21.940001,777300,18.242441
2010-05-04,21.799999,22.030001,21.549999,22.0,1795000,18.292328
2010-05-05,22.02,22.040001,21.66,22.01,1839400,18.300643
2010-05-06,21.92,22.08,20.84,21.4,2127700,17.793446
2010-05-07,21.43,21.74,20.5,20.709999,2138400,17.219732
2010-05-10,21.280001,21.940001,21.25,21.93,2215500,18.234126
2010-05-11,21.719999,21.98,21.57,21.65,939700,18.001314
2010-05-12,21.620001,21.85,21.5,21.700001,1403300,18.042888
2010-05-13,21.58,22.129999,21.58,21.75,1792700,18.084461
2010-05-14,21.5,21.5,21.08,21.379999,905100,17.950128
2010-05-17,21.440001,21.65,21.1,21.290001,777000,17.874568
2010-05-18,21.33,21.610001,20.860001,20.92,1032500,17.563924
2010-05-19,20.83,20.969999,20.32,20.65,1438700,17.337238
2010-05-20,20.450001,20.540001,19.92,19.950001,1575000,16.749536
2010-05-21,19.83,20.09,19.719999,20.09,1334100,16.867076
2010-05-24,20.08,20.48,19.969999,20.049999,745300,16.833492
2010-05-25,19.700001,20.059999,19.41,20.01,1388800,16.79991
2010-05-26,20.1,20.299999,19.91,20.0,988500,16.791514
2010-05-27,20.299999,20.34,20.1,20.280001,532400,17.026596
2010-05-28,20.33,20.57,20.1,20.34,743200,17.07697
2010-06-01,20.309999,20.389999,20.0,20.02,645200,16.808306
2010-06-02,20.139999,20.26,20.0,20.219999,717400,16.97622
2010-06-03,20.379999,20.459999,20.15,20.41,706800,17.13574
2010-06-04,20.07,20.129999,19.780001,19.92,1060500,16.724348
2010-06-07,20.02,20.209999,19.9,19.92,906700,16.724348
2010-06-08,20.07,20.209999,19.83,20.209999,1508500,16.967824
2010-06-09,20.25,20.280001,20.01,20.1,1084700,16.875472
2010-06-10,20.33,20.450001,19.92,20.01,1738500,16.79991
2010-06-11,19.959999,20.15,19.950001,20.1,1292100,16.875472
2010-06-14,20.15,20.85,20.15,20.66,2412800,17.345634
2010-06-15,20.799999,20.93,20.690001,20.860001,1186400,17.51355
2010-06-16,20.690001,20.98,20.58,20.889999,842900,17.538736
2010-06-17,20.959999,21.129999,20.77,21.09,838500,17.706652
2010-06-18,21.01,21.74,20.940001,21.74,3595400,18.252376
2010-06-21,21.809999,21.809999,21.35,21.450001,1069100,18.0089
2010-06-22,21.370001,21.549999,21.09,21.1,1145700,17.715048
2010-06-23,21.07,21.17,20.809999,20.969999,1623800,17.605902
2010-06-24,20.969999,21.280001,20.780001,20.799999,1035300,17.463174
2010-06-25,20.75,21.1,20.57,21.02,5651400,17.647882
2010-06-28,21.02,21.309999,20.91,21.18,639800,17.782214
2010-06-29,21.030001,21.030001,20.639999,20.76,979700,17.429592
2010-06-30,20.68,20.940001,20.51,20.6,903800,17.29526
