Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,15.67,15.86,15.61,15.79,5875500,12.180226
2010-01-05,15.89,15.89,15.64,15.74,4288600,12.141656
2010-01-06,15.74,15.84,15.66,15.69,4671800,12.103087
2010-01-07,15.72,15.72,15.33,15.49,5909300,11.948809
2010-01-08,15.42,15.58,15.3,15.55,2398800,11.995093
2010-01-11,15.69,15.79,15.54,15.75,4536800,12.14937
2010-01-12,15.69,15.77,15.56,15.66,2906900,12.079945
2010-01-13,15.68,15.86,15.56,15.78,2073000,12.172512
2010-01-14,15.77,15.95,15.7,15.8,2644900,12.18794
2010-01-15,15.78,15.79,15.49,15.69,3998800,12.103087
2010-01-19,15.69,15.91,15.65,15.9,1860700,12.265078
2010-01-20,15.84,15.88,15.56,15.86,3240300,12.234223
2010-01-21,15.92,16.02,15.54,15.54,3018700,11.987379
2010-01-22,15.6,15.6,15.2,15.22,4304900,11.740535
2010-01-25,15.37,15.47,15.19,15.38,2741700,11.863957
2010-01-26,15.45,15.65,15.29,15.54,3243200,11.987379
2010-01-27,15.52,15.52,15.23,15.39,3061000,11.871671
2010-01-28,15.42,15.48,15.23,15.3,2980200,11.802246
2010-01-29,15.3,15.48,15.13,15.17,4142700,11.701965
2010-02-01,15.23,15.28,15.08,15.25,3137700,11.763676
2010-02-02,15.31,15.52,15.13,15.51,2445800,11.964237
2010-02-03,15.46,15.53,15.28,15.36,2443400,11.848528
2010-02-04,15.16,15.21,14.89,14.89,3015300,11.599251
2010-02-05,14.86,14.91,14.57,14.81,2723300,11.536931
2010-02-08,14.83,14.85,14.57,14.59,2721000,11.365552
2010-02-09,14.78,14.86,14.61,14.65,2576100,11.412291
2010-02-10,14.59,14.64,14.4,14.57,2397400,11.349971
2010-02-11,14.53,14.94,14.47,14.89,3992700,11.599251
2010-02-12,14.81,14.88,14.71,14.83,3395000,11.55251
2010-02-16,14.99,15.13,14.86,15.12,1912200,11.778419
2010-02-17,15.18,15.22,15.04,15.13,1475600,11.786209
2010-02-18,15.16,15.27,15.05,15.19,3177500,11.832949
2010-02-19,15.14,15.61,15.05,15.58,4304500,12.136757
2010-02-22,15.49,15.59,15.44,15.49,2315700,12.066648
2010-02-23,15.47,15.51,15.23,15.32,3054700,11.934218
2010-02-24,15.09,15.42,14.92,15.4,4645400,11.996538
2010-02-25,15.14,15.34,15.06,15.29,3015400,11.910849
2010-02-26,15.3,15.46,15.2,15.27,2641200,11.895269
2010-03-01,15.33,15.45,15.19,15.38,5502600,11.980958
2010-03-02,15.5,15.68,15.44,15.63,5157200,12.175707
2010-03-03,15.64,15.75,15.47,15.51,5419300,12.082228
2010-03-04,15.47,15.53,15.3,15.5,4527200,12.074438
2010-03-05,15.56,15.69,15.49,15.69,2549300,12.222447
2010-03-08,15.59,15.74,15.57,15.62,3532200,12.167917
2010-03-09,15.62,15.79,15.48,15.76,4026000,12.276977
2010-03-10,15.75,15.76,15.56,15.73,3165500,12.253607
2010-03-11,15.7,15.77,15.62,15.77,1395100,12.284767
2010-03-12,15.78,15.8,15.63,15.71,1477000,12.238027
2010-03-15,15.72,15.75,15.49,15.65,1187900,12.191287
2010-03-16,15.65,15.76,15.58,15.74,1851500,12.261397
2010-03-17,15.75,15.83,15.59,15.75,1901500,12.269187
2010-03-18,15.71,15.93,15.68,15.83,2197300,12.331506
2010-03-19,15.82,16.0,15.68,15.82,2113600,12.323716
2010-03-22,15.74,15.75,15.61,15.67,2246800,12.206867
2010-03-23,15.66,15.74,15.61,15.69,2558700,12.222447
2010-03-24,15.67,15.71,15.47,15.55,2180500,12.113388
2010-03-25,15.59,15.73,15.43,15.43,2498600,12.019908
2010-03-26,15.49,15.63,15.41,15.53,3102800,12.097808
2010-03-29,15.51,15.67,15.44,15.55,2913100,12.113388
2010-03-30,15.53,15.75,15.51,15.53,2099200,12.097808
2010-03-31,15.46,15.54,15.4,15.46,2990400,12.043278
2010-04-01,15.52,15.65,15.49,15.62,3093400,12.167917
2010-04-05,15.68,15.85,15.59,15.84,2037400,12.339297
2010-04-06,15.8,16.0,15.75,15.98,2007900,12.448356
2010-04-07,15.88,16.040001,15.85,15.94,4070500,12.417196
2010-04-08,15.87,15.94,15.69,15.78,2122000,12.292557
2010-04-09,15.77,15.91,15.65,15.9,1898800,12.386036
2010-04-12,15.91,16.07,15.91,16.049999,2171700,12.502885
2010-04-13,16.02,16.09,15.85,15.91,2389400,12.393826
2010-04-14,15.93,15.98,15.81,15.92,1468800,12.401616
2010-04-15,15.88,15.95,15.8,15.85,2379200,12.347087
2010-04-16,15.82,15.92,15.68,15.72,3621600,12.245817
2010-04-19,15.67,15.79,15.6,15.77,3190900,12.284767
2010-04-20,15.86,15.94,15.78,15.8,5002300,12.308137
2010-04-21,15.82,15.85,15.71,15.77,2560800,12.284767
2010-04-22,15.72,15.86,15.66,15.8,3488100,12.308137
2010-04-23,15.9,16.48,15.81,16.379999,6010300,12.759954
2010-04-26,16.459999,16.67,16.42,16.549999,6374600,12.892383
2010-04-27,16.5,16.620001,16.110001,16.129999,5987700,12.565205
2010-04-28,16.200001,16.389999,16.1,16.35,3176300,12.736585
2010-04-29,16.4,16.48,16.27,16.309999,2702100,12.705424
