Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,33.139999,33.639999,32.889999,33.630001,5130400,25.09568
2010-01-05,33.650002,33.75,33.43,33.599998,6568700,25.073291
2010-01-06,33.630001,33.740002,33.169998,33.419998,2972700,24.93897
2010-01-07,33.290001,33.389999,32.880001,32.970001,1923800,24.603169
2010-01-08,32.790001,33.009998,32.619999,32.880001,1764000,24.536008
2010-01-11,32.849998,33.049999,32.610001,33.040001,3397600,24.655405
2010-01-12,32.48,33.150002,32.349998,32.830002,4012200,24.498697
2010-01-13,32.880001,33.259998,32.599998,33.049999,2749100,24.662866
2010-01-14,32.900002,32.98,32.650002,32.82,2590000,24.491233
2010-01-15,32.669998,32.889999,32.169998,32.619999,3169700,24.341987
2010-01-19,32.560001,32.939999,32.419998,32.919998,2185300,24.565855
2010-01-20,32.709999,32.709999,31.85,32.23,3719400,24.050958
2010-01-21,32.25,32.599998,31.52,31.75,3204500,23.692769
2010-01-22,31.68,31.809999,31.18,31.24,3298800,23.312192
2010-01-25,31.280001,31.620001,31.129999,31.440001,2074900,23.461438
2010-01-26,31.41,31.51,31.02,31.290001,2382500,23.349504
2010-01-27,31.209999,31.209999,30.389999,30.860001,2649300,23.028625
2010-01-28,30.91,30.93,30.32,30.57,2994500,22.812218
2010-01-29,30.83,30.98,30.51,30.59,3138100,22.827143
2010-02-01,30.73,30.82,30.459999,30.629999,2192100,22.856992
2010-02-02,30.65,30.950001,30.4,30.889999,2553900,23.051011
2010-02-03,30.700001,30.870001,30.440001,30.549999,1914100,22.797293
2010-02-04,30.32,30.4,29.6,29.639999,2337500,22.118225
2010-02-05,29.610001,29.74,29.01,29.52,3041800,22.028678
2010-02-08,29.49,30.030001,29.370001,29.48,2157200,21.998829
2010-02-09,29.74,30.23,29.6,29.889999,3132400,22.304782
2010-02-10,29.85,30.049999,29.389999,29.93,3503200,22.334632
2010-02-11,29.9,30.610001,29.58,30.530001,5261500,22.78237
2010-02-12,30.280001,30.35,29.9,30.17,4165100,22.513727
2010-02-16,30.42,30.84,30.41,30.76,3017500,22.954002
2010-02-17,30.92,31.120001,30.549999,30.74,2219700,22.939077
2010-02-18,30.66,31.07,30.530001,30.85,3440400,23.021163
2010-02-19,30.700001,31.200001,30.48,31.18,2822900,23.267418
2010-02-22,31.370001,31.370001,30.5,30.57,2305800,22.812218
2010-02-23,30.459999,30.57,29.959999,30.16,3321100,22.506265
2010-02-24,30.27,30.309999,29.76,30.17,3771400,22.513727
2010-02-25,29.799999,29.98,29.370001,29.92,4217700,22.32717
2010-02-26,29.870001,30.01,29.549999,29.719999,2599600,22.177923
2010-03-01,29.83,30.610001,29.83,30.440001,2944500,22.715209
2010-03-02,30.59,30.74,30.42,30.629999,2401400,22.856992
2010-03-03,30.66,30.74,30.5,30.57,2356400,22.812218
2010-03-04,30.690001,30.93,30.379999,30.9,7348300,23.058474
2010-03-05,31.49,31.49,30.959999,31.200001,5039300,23.282343
2010-03-08,30.719999,30.889999,30.33,30.709999,2415200,23.171427
2010-03-09,30.690001,30.75,30.5,30.549999,2987200,23.050704
2010-03-10,30.6,30.700001,30.290001,30.549999,3263100,23.050704
2010-03-11,30.43,30.709999,30.41,30.67,2532000,23.141247
2010-03-12,30.780001,30.91,30.52,30.57,1916400,23.065795
2010-03-15,30.52,30.85,30.52,30.85,2157400,23.277062
2010-03-16,30.92,31.18,30.74,31.129999,2360100,23.488328
2010-03-17,31.18,31.32,30.780001,30.959999,3551500,23.360058
2010-03-18,30.940001,31.200001,30.709999,30.99,2269400,23.382695
2010-03-19,30.92,31.34,30.65,30.92,3569000,23.329878
2010-03-22,30.799999,30.92,30.5,30.59,2010200,23.080885
2010-03-23,30.59,30.950001,30.360001,30.530001,2770200,23.035614
2010-03-24,30.450001,30.629999,30.07,30.09,3384400,22.703623
2010-03-25,30.09,30.209999,29.18,29.35,5960600,22.145276
2010-03-26,29.440001,29.450001,29.040001,29.110001,3177700,21.96419
2010-03-29,29.309999,29.51,29.15,29.49,2689700,22.250909
2010-03-30,29.6,29.629999,29.360001,29.450001,2444400,22.220729
2010-03-31,29.58,29.639999,29.110001,29.52,3954100,22.273545
2010-04-01,29.66,30.15,29.66,30.120001,3110800,22.72626
2010-04-05,30.25,30.870001,30.23,30.82,3317600,23.254426
2010-04-06,30.690001,31.15,30.559999,31.1,3975800,23.465693
2010-04-07,30.969999,30.969999,30.4,30.68,5440700,23.148793
2010-04-08,30.620001,30.620001,30.23,30.48,2602200,22.997887
2010-04-09,30.52,30.709999,30.219999,30.690001,2686600,23.156338
2010-04-12,30.99,31.059999,30.809999,31.030001,2048000,23.412876
2010-04-13,31.059999,31.129999,30.66,30.85,2521900,23.277062
2010-04-14,30.83,31.23,30.610001,31.219999,3131700,23.556235
2010-04-15,31.120001,31.18,30.700001,30.700001,3118200,23.163883
2010-04-16,30.65,30.799999,30.16,30.25,2908600,22.824347
2010-04-19,30.120001,30.389999,30.07,30.26,1610200,22.831893
2010-04-20,30.459999,30.809999,30.370001,30.790001,2127000,23.231791
2010-04-21,30.75,30.860001,30.59,30.83,1747000,23.261971
2010-04-22,30.84,31.120001,30.620001,31.07,2338700,23.443057
2010-04-23,31.02,31.549999,30.85,31.549999,2064300,23.805228
2010-04-26,31.469999,31.639999,31.33,31.389999,2478900,23.684504
2010-04-27,31.309999,31.549999,31.01,31.07,3475200,23.443057
2010-04-28,31.290001,31.530001,30.77,31.459999,3518700,23.73732
2010-04-29,31.6,32.07,31.6,31.84,2678900,24.02404
2010-04-30,31.940001,32.650002,31.889999,32.130001,4937400,24.242853
2010-05-03,32.330002,32.869999,32.27,32.77,2559700,24.725748
2010-05-04,32.509998,32.580002,31.950001,32.150002,2741900,24.257944
2010-05-05,31.77,32.209999,31.57,31.889999,3174900,24.061766
2010-05-06,31.84,31.969999,29.610001,31.0,3644400,23.39024
2010-05-07,31.01,31.379999,30.26,30.700001,4797900,23.163883
2010-05-10,31.709999,32.080002,31.17,31.42,6063500,23.70714
2010-05-11,31.129999,31.780001,31.129999,31.48,4001900,23.752411
